"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Screen__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nPortal__Portal_Header_Text__c","nPortal__Portal_Subheader_Text__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Parent_Screen_Section__c","nFORCE__Number_of_Columns__c","Custom_Code_in_Screen_Section__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Validation_Service__c"
"a2F5w000000NH0sEAG","","Relationship Summary","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","a2G5w000001aMOqEAM","false","false","false","false","false","20.0","slide","true","false","false","false","","false","","a2I5w0000011r4kEAA","MappedSObjectHierarchyScreenResource","","42277895468846752","LLC_BI__Review__c","","","","","","","false","false",""
"a2F5w000000NH0tEAG","","Loan Summary","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","a2G5w000001aMOqEAM","false","false","false","false","false","40.0","slide","true","false","false","false","","false","","a2I5w0000011r4iEAA","MappedSObjectHierarchyScreenResource","","42192487956086027","LLC_BI__Review__c","","","","","","","false","false",""
"a2F5w000000NH0uEAG","","Review Details","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","a2G5w000001aMOqEAM","false","false","false","false","false","10.0","slide","true","false","false","false","","false","","a2I5w0000011r4hEAA","MappedSObjectScreenResource","","42706250660829045","LLC_BI__Review__c","","","","","","","false","false",""
"a2F5w000000NH0vEAG","","Related Relationships","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","a2G5w000001aMOqEAM","false","false","false","false","false","30.0","slide","true","false","false","false","","false","","a2I5w0000011r4jEAA","MappedSObjectHierarchyScreenResource","","42502957890552109","LLC_BI__Review__c","","","","","","","false","false",""
"a2F5w000000NH0wEAG","","Collateral Summary","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","a2G5w000001aMOqEAM","false","false","false","false","false","50.0","slide","true","false","false","false","","false","","a2I5w0000011r4lEAA","MappedSObjectHierarchyScreenResource","","42805361597775197","LLC_BI__Review__c","","","","","","","false","false",""
"a2F5w000000NH0xEAG","","Covenant Summary","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","a2G5w000001aMOqEAM","false","false","false","false","false","60.0","slide","true","false","false","false","","false","","a2I5w0000011r4mEAA","MappedSObjectHierarchyScreenResource","","42387029577793935","LLC_BI__Review__c","","","","","","","false","false",""
"a2F5w000000NH0yEAG","","Related Exposure","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","a2G5w000001aMOrEAM","false","false","false","false","false","60.0","slide","true","false","false","false","","false","","a2I5w0000011r4nEAA","MappedSObjectHierarchyScreenResource","","42874831218827914","LLC_BI__Product_Package__c","","","","","","","false","false",""
"a2F5w000000NH0zEAG","","Product Request","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","a2G5w000001aMOrEAM","false","false","false","false","false","30.0","slide","true","false","false","false","","false","","a2I5w0000011r4oEAA","MappedSObjectHierarchyScreenResource","","42549262841559988","LLC_BI__Product_Package__c","","","","","","","false","false",""
"a2F5w000000NH10EAG","","Product Package Details","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","a2G5w000001aMOrEAM","false","false","false","false","false","20.0","slide","true","true","false","false","","false","","a2I5w0000011r4pEAA","MappedSObjectScreenResource","","42683992470366734","LLC_BI__Product_Package__c","","","","","","","false","false",""
"a2F5w000000NH11EAG","","Relationship Summary","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","a2G5w000001aMOrEAM","false","false","false","false","false","10.0","slide","true","false","false","false","","false","","a2I5w0000011r4qEAA","MappedSObjectHierarchyScreenResource","","42785810684238833","LLC_BI__Product_Package__c","","","","","","","false","false",""
