"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Layout__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c"
"a2H5w000000BJNKEA4","","SC-000010598","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","a2F5w000000NH0uEAG","1.01","Credit_Memo_Standard_Review_Account","a2C5w000003u1cmEAA","","","","42943115977539175","LLC_BI__Review__c","","","false","","false"
"a2H5w000000BJNLEA4","","SC-000010599","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","a2F5w000000NH0tEAG","1.01","","a2C5w000003u1cnEAA","","","","42278685535843986","LLC_BI__Review__c","","","false","","false"
"a2H5w000000BJNMEA4","","SC-000010600","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","a2F5w000000NH0tEAG","2.01","","a2C5w000003u1coEAA","a2H5w000000BJNLEA4","LLC_BI__Account__r","","42829862274756138","Account","","","false","","false"
"a2H5w000000BJNNEA4","","SC-000010601","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","a2F5w000000NH0tEAG","3.01","","a2C5w000003u1cpEAA","a2H5w000000BJNMEA4","LLC_BI__Legal_Entities__r","","42495665324537059","LLC_BI__Legal_Entities__c","","","false","","false"
"a2H5w000000BJNOEA4","","SC-000010602","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","a2F5w000000NH0tEAG","4.01","Credit_Memo_Standard_Review_Account","a2C5w000003u1cqEAA","a2H5w000000BJNNEA4","LLC_BI__Loan__r","Loan Details","42473600807117806","LLC_BI__Loan__c","","","false","","false"
"a2H5w000000BJNPEA4","","SC-000010603","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","a2F5w000000NH0tEAG","5.01","Credit_Memo_Standard_Review_Account","a2C5w000003u1crEAA","a2H5w000000BJNOEA4","LLC_BI__Legal_Entities__r","Borrower Structure","42646377597252049","LLC_BI__Legal_Entities__c","","","false","","false"
"a2H5w000000BJNQEA4","","SC-000010604","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","a2F5w000000NH0tEAG","5.02","Credit_Memo_Standard_Review_Account","a2C5w000003u1csEAA","a2H5w000000BJNOEA4","LLC_BI__Fees__r","Fees","42021388270542383","LLC_BI__Fee__c","","","false","","false"
"a2H5w000000BJNREA4","","SC-000010605","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","a2F5w000000NH0tEAG","5.03","Credit_Memo_Standard_Review_Account","a2C5w000003u1ctEAA","a2H5w000000BJNOEA4","LLC_BI__Policy_Exceptions__r","Policy Exceptions","42772816886294615","LLC_BI__Policy_Exception__c","","","false","","false"
"a2H5w000000BJNSEA4","","SC-000010606","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","a2F5w000000NH0tEAG","5.04","Credit_Memo_Standard_Review_Account","a2C5w000003u1cuEAA","a2H5w000000BJNOEA4","LLC_BI__Third_Party_Reports__r","Third Party Reports","42053267978211005","LLC_BI__third_party_report__c","","","false","","false"
"a2H5w000000BJNTEA4","","SC-000010607","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","a2F5w000000NH0tEAG","5.05","Credit_Memo_Standard_Review_Account","a2C5w000003u1cvEAA","a2H5w000000BJNOEA4","LLC_BI__Participations__r","Participations","42785030568945196","LLC_BI__Participation__c","","","false","","false"
